id,name,wkt
40,25065,"POLYGON((529074.178 5073868.0,529077.704 5073808.0,529069.626 5073811.0,529057.754 5073832.0,529054.982 5073883.0,529055.685 5073883.0,529074.178 5073868.0))"
41,25066,"POLYGON((529057.754 5073832.0,529069.626 5073811.0,529031.098 5073808.0,529029.321 5073809.0,529022.441 5073815.0,529022.022 5073835.0,529038.209 5073844.0,529057.754 5073832.0))"
42,25067,"POLYGON((529077.704 5073808.0,529079.756 5073807.0,529082.394 5073798.0,529025.784 5073761.0,529025.695 5073761.0,529031.098 5073808.0,529069.626 5073811.0,529077.704 5073808.0))"
43,25068,"POLYGON((529083.308 5073796.0,529085.485 5073780.0,529081.666 5073774.0,529051.393 5073757.0,529026.357 5073758.0,529025.784 5073761.0,529082.394 5073798.0,529083.308 5073796.0))"
44,25069,"POLYGON((529071.214 5073717.0,529064.257 5073717.0,529054.037 5073721.0,529056.388 5073748.0,529074.954 5073753.0,529071.214 5073717.0))"
45,25070,"POLYGON((529051.393 5073757.0,529056.388 5073748.0,529054.037 5073721.0,529049.382 5073722.0,529036.154 5073726.0,529023.229 5073733.0,529022.291 5073736.0,529026.357 5073758.0,529051.393 5073757.0))"
46,25071,"POLYGON((529102.509 5073761.0,529106.049 5073749.0,529107.415 5073730.0,529093.316 5073710.0,529082.439 5073710.0,529071.214 5073717.0,529074.954 5073753.0,529081.666 5073774.0,529085.485 5073780.0,529102.509 5073761.0))"
47,25072,"POLYGON((529012.298 5073769.0,528989.939 5073774.0,528988.026 5073788.0,529010.86 5073789.0,529012.298 5073769.0))"
48,25073,"POLYGON((529020.327 5073838.0,529022.022 5073835.0,529022.441 5073815.0,528975.32 5073817.0,528973.301 5073818.0,528983.547 5073831.0,529003.708 5073843.0,529020.327 5073838.0))"
49,25074,"POLYGON((529013.539 5073794.0,529010.86 5073789.0,528988.026 5073788.0,528986.101 5073794.0,529013.539 5073794.0))"
50,25075,"POLYGON((528973.301 5073818.0,528975.32 5073817.0,528986.101 5073794.0,528988.026 5073788.0,528989.939 5073774.0,528968.746 5073749.0,528967.924 5073749.0,528926.829 5073775.0,528930.102 5073790.0,528945.625 5073811.0,528950.657 5073816.0,528956.353 5073819.0,528961.093 5073819.0,528973.301 5073818.0))"
51,25076,"POLYGON((529012.298 5073769.0,529025.695 5073761.0,529025.784 5073761.0,529026.357 5073758.0,529022.291 5073736.0,528968.746 5073749.0,528989.939 5073774.0,529012.298 5073769.0))"
52,25077,"POLYGON((529022.291 5073736.0,529023.229 5073733.0,529009.448 5073715.0,528969.785 5073732.0,528967.332 5073741.0,528967.924 5073749.0,528968.746 5073749.0,529022.291 5073736.0))"
53,25078,"POLYGON((529009.448 5073715.0,529003.571 5073702.0,528988.289 5073698.0,528976.18 5073701.0,528970.404 5073714.0,528969.785 5073732.0,529009.448 5073715.0))"
54,25079,"POLYGON((529036.154 5073726.0,529030.053 5073693.0,529009.488 5073694.0,529003.571 5073702.0,529009.448 5073715.0,529023.229 5073733.0,529036.154 5073726.0))"
55,25080,"POLYGON((529049.382 5073722.0,529036.867 5073689.0,529035.627 5073689.0,529030.053 5073693.0,529036.154 5073726.0,529049.382 5073722.0))"
56,25081,"POLYGON((529054.037 5073721.0,529064.257 5073717.0,529047.309 5073690.0,529036.867 5073689.0,529049.382 5073722.0,529054.037 5073721.0))"
57,25082,"POLYGON((529071.214 5073717.0,529082.439 5073710.0,529063.387 5073668.0,529062.719 5073668.0,529047.309 5073690.0,529064.257 5073717.0,529071.214 5073717.0))"
58,25083,"POLYGON((529093.316 5073710.0,529099.117 5073704.0,529099.409 5073682.0,529070.945 5073664.0,529063.387 5073668.0,529082.439 5073710.0,529093.316 5073710.0))"
59,25084,"POLYGON((529111.876 5073699.0,529118.087 5073685.0,529119.669 5073680.0,529120.062 5073670.0,529113.606 5073654.0,529105.948 5073651.0,529099.409 5073682.0,529099.117 5073704.0,529111.876 5073699.0))"
60,25085,"POLYGON((529105.948 5073651.0,529105.734 5073650.0,529097.577 5073641.0,529070.945 5073664.0,529099.409 5073682.0,529105.948 5073651.0))"
61,25086,"POLYGON((529070.945 5073664.0,529097.577 5073641.0,529096.515 5073633.0,529096.395 5073632.0,529051.808 5073625.0,529059.07 5073666.0,529062.719 5073668.0,529063.387 5073668.0,529070.945 5073664.0))"
62,25087,"POLYGON((529051.808 5073625.0,529048.694 5073623.0,529047.784 5073624.0,529031.723 5073644.0,529029.578 5073664.0,529033.101 5073666.0,529059.07 5073666.0,529051.808 5073625.0))"
63,25088,"POLYGON((529029.578 5073664.0,529031.723 5073644.0,529005.07 5073632.0,529005.496 5073662.0,529014.064 5073667.0,529029.578 5073664.0))"
64,25089,"POLYGON((529047.784 5073624.0,529018.21 5073621.0,528999.541 5073620.0,529005.07 5073632.0,529031.723 5073644.0,529047.784 5073624.0))"
65,25090,"POLYGON((529048.694 5073623.0,529048.176 5073599.0,529039.589 5073588.0,529018.21 5073621.0,529047.784 5073624.0,529048.694 5073623.0))"
66,25091,"POLYGON((529005.496 5073662.0,529005.07 5073632.0,528999.541 5073620.0,528975.84 5073600.0,528968.935 5073643.0,528978.03 5073660.0,528987.576 5073664.0,529005.496 5073662.0))"
67,25092,"POLYGON((528913.272 5073671.0,528968.935 5073643.0,528975.84 5073600.0,528968.604 5073580.0,528937.448 5073573.0,528816.766 5073625.0,528854.9 5073670.0,528870.37 5073682.0,528873.659 5073682.0,528913.272 5073671.0))"
68,25093,"POLYGON((528978.03 5073660.0,528968.935 5073643.0,528913.272 5073671.0,528967.429 5073674.0,528978.03 5073660.0))"
69,25094,"POLYGON((528967.429 5073674.0,528913.272 5073671.0,528873.659 5073682.0,528889.055 5073687.0,528968.567 5073694.0,528967.429 5073674.0))"
70,25095,"POLYGON((528976.18 5073701.0,528968.567 5073694.0,528889.055 5073687.0,528919.873 5073703.0,528970.404 5073714.0,528976.18 5073701.0))"
71,25096,"POLYGON((529062.719 5073668.0,529059.07 5073666.0,529033.101 5073666.0,529035.627 5073689.0,529036.867 5073689.0,529047.309 5073690.0,529062.719 5073668.0))"
72,25097,"POLYGON((529030.053 5073693.0,529035.627 5073689.0,529033.101 5073666.0,529029.578 5073664.0,529014.064 5073667.0,529009.488 5073694.0,529030.053 5073693.0))"
73,25098,"POLYGON((529009.488 5073694.0,529014.064 5073667.0,529005.496 5073662.0,528987.576 5073664.0,528988.289 5073698.0,529003.571 5073702.0,529009.488 5073694.0))"
74,25099,"POLYGON((528988.289 5073698.0,528987.576 5073664.0,528978.03 5073660.0,528967.429 5073674.0,528968.567 5073694.0,528976.18 5073701.0,528988.289 5073698.0))"
75,25100,"POLYGON((529055.685 5073883.0,529054.982 5073883.0,529036.076 5073871.0,529020.683 5073868.0,529007.643 5073872.0,528994.752 5073880.0,528993.391 5073881.0,528997.396 5073903.0,529062.469 5073925.0,529055.685 5073883.0))"
76,25101,"POLYGON((529069.286 5073937.0,529062.469 5073925.0,528997.396 5073903.0,528994.45 5073907.0,528975.611 5073943.0,529067.555 5073945.0,529069.286 5073937.0))"
77,25102,"POLYGON((529067.854 5073950.0,529067.555 5073945.0,528975.611 5073943.0,528940.982 5073969.0,528930.8 5073985.0,528932.252 5073997.0,528944.856 5074031.0,528947.848 5074036.0,529067.854 5073950.0))"
78,25103,"POLYGON((529088.373 5073989.0,529084.244 5073978.0,529067.854 5073950.0,528986.091 5074009.659,528998.036 5074046.293,529088.373 5073989.0))"
79,25104,"POLYGON((529030.851 5074128.0,529094.966 5074060.0,529068.377 5074040.0,529009.982 5074090.094,529030.851 5074128.0))"
80,25105,"POLYGON((529150.703 5074096.0,529148.268 5074075.0,529140.942 5074071.0,529130.793 5074065.0,529057.501 5074126.0,529103.464 5074133.0,529150.703 5074096.0))"
81,25106,"POLYGON((529149.186 5074132.0,529171.224 5074115.0,529150.703 5074096.0,529103.464 5074133.0,529115.117 5074144.0,529149.186 5074132.0))"
82,25107,"POLYGON((529174.508 5074118.0,529171.224 5074115.0,529149.186 5074132.0,529138.143 5074170.0,529178.209 5074221.0,529174.508 5074118.0))"
83,25108,"POLYGON((529192.255 5074229.0,529214.324 5074210.0,529230.765 5074180.0,529219.786 5074102.0,529174.508 5074118.0,529178.209 5074221.0,529183.794 5074235.0,529192.255 5074229.0))"
84,25109,"POLYGON((529278.351 5074146.0,529279.167 5074126.0,529245.089 5074064.0,529219.786 5074102.0,529230.765 5074180.0,529278.351 5074146.0))"
85,25110,"POLYGON((529310.597 5074114.0,529308.671 5074094.0,529296.302 5074062.0,529293.409 5074061.0,529249.012 5074056.0,529245.971 5074057.0,529245.089 5074064.0,529279.167 5074126.0,529310.597 5074114.0))"
86,25111,"POLYGON((529354.441 5074056.0,529296.302 5074062.0,529308.671 5074094.0,529354.654 5074100.0,529354.441 5074056.0))"
87,25112,"POLYGON((529315.891 5073911.0,529251.857 5073914.0,529186.138 5073973.0,529213.408 5074009.0,529315.891 5073911.0))"
88,25113,"POLYGON((529251.857 5073914.0,529213.182 5073903.0,529192.282 5073917.0,529181.23 5073950.0,529180.871 5073965.0,529183.788 5073971.0,529186.138 5073973.0,529251.857 5073914.0))"
89,25114,"POLYGON((529213.182 5073903.0,529208.983 5073890.0,529190.923 5073882.0,529168.15 5073891.0,529165.425 5073893.0,529192.282 5073917.0,529213.182 5073903.0))"
90,25115,"POLYGON((529190.923 5073882.0,529186.046 5073861.0,529168.15 5073891.0,529190.923 5073882.0))"
91,25116,"POLYGON((529299.073 5073996.12,529249.012 5074056.0,529293.409 5074061.0,529317.39 5074008.066))"
92,25117,"POLYGON((529249.012 5074056.0,529298.276 5073997.713,529260.846 5073961.079,529213.408 5074009.0,529216.035 5074028.0,529216.664 5074030.0,529245.971 5074057.0,529249.012 5074056.0))"
93,25118,"POLYGON((529095.196 5074243.798,529174.039 5074260.522,529183.596 5074234.242,529177.225 5074215.924,529104.753 5074133.1,529061.748 5074124.339,529031.485 5074128.321,529046.616 5074192.829,529017.946 5074298.749,529065.73 5074303.528))"
94,25119,"POLYGON((529301.298 5074207.0,529315.165 5074199.0,529303.704 5074160.0,529278.351 5074146.0,529230.765 5074180.0,529214.324 5074210.0,529301.298 5074207.0))"
95,25120,"POLYGON((529357.621 5074193.0,529342.842 5074136.0,529303.704 5074160.0,529315.165 5074199.0,529326.466 5074201.0,529357.621 5074193.0))"
96,25121,"POLYGON((529342.842 5074136.0,529348.298 5074124.0,529310.597 5074114.0,529279.167 5074126.0,529278.351 5074146.0,529303.704 5074160.0,529342.842 5074136.0))"
97,25122,"POLYGON((529356.278 5074118.0,529354.654 5074100.0,529308.671 5074094.0,529310.597 5074114.0,529348.298 5074124.0,529356.278 5074118.0))"
98,25123,"POLYGON((529461.469 5074116.0,529367.563 5074038.329,529354.441 5074056.0,529354.654 5074100.0,529356.278 5074118.0,529428.008 5074142.0,529461.469 5074116.0))"
99,25124,"POLYGON((529494.521 5074227.0,529500.973 5074199.0,529491.354 5074175.0,529461.469 5074116.0,529428.008 5074142.0,529419.6 5074165.0,529455.745 5074239.0,529472.5 5074249.0,529494.521 5074227.0))"
100,25125,"POLYGON((529455.745 5074239.0,529419.6 5074165.0,529376.822 5074198.0,529382.054 5074230.0,529389.887 5074239.0,529417.754 5074243.0,529455.745 5074239.0))"
101,25126,"POLYGON((529382.054 5074230.0,529376.822 5074198.0,529357.621 5074193.0,529326.466 5074201.0,529332.678 5074234.0,529355.356 5074245.0,529382.054 5074230.0))"
102,25127,"POLYGON((529332.678 5074234.0,529326.466 5074201.0,529315.165 5074199.0,529301.298 5074207.0,529300.784 5074226.0,529318.764 5074254.0,529332.678 5074234.0))"
103,25128,"POLYGON((529300.784 5074226.0,529301.298 5074207.0,529214.324 5074210.0,529192.255 5074229.0,529293.879 5074238.0,529300.784 5074226.0))"
104,25129,"POLYGON((529293.879 5074238.0,529192.255 5074229.0,529183.794 5074235.0,529174.039 5074260.522,529284.738 5074303.528,529293.879 5074238.0))"
105,25130,"POLYGON((529331.725 5074307.51,529318.764 5074254.0,529300.784 5074226.0,529293.879 5074238.0,529283.941 5074303.528))"
106,25131,"POLYGON((529355.356 5074245.0,529332.678 5074234.0,529318.764 5074254.0,529332.521 5074309.899,529355.356 5074245.0))"
107,25132,"POLYGON((529389.887 5074239.0,529382.054 5074230.0,529355.356 5074245.0,529332.521 5074309.899,529377.119 5074314.677,529389.887 5074239.0))"
108,25133,"POLYGON((529417.754 5074243.0,529389.887 5074239.0,529377.916 5074315.474,529404.197 5074317.863,529417.754 5074243.0))"
109,25135,"POLYGON((529594.283 5074243.0,529494.521 5074227.0,529472.5 5074249.0,529480.412 5074324.0,529594.283 5074243.0))"
110,25136,"POLYGON((529585.774 5074169.734,529500.973 5074199.0,529494.521 5074227.0,529594.283 5074243.0))"
111,25138,"POLYGON((529583.385 5074150.62,529460.741 5074115.579,529461.469 5074116.0,529491.354 5074175.0))"
112,25139,"POLYGON((529168.15 5073891.0,529186.046 5073861.0,529186.969 5073844.0,529146.783 5073889.0,529147.22 5073890.0,529165.425 5073893.0,529168.15 5073891.0))"
113,25140,"POLYGON((529186.969 5073844.0,529202.308 5073803.0,529168.948 5073829.0,529139.553 5073873.0,529137.323 5073884.0,529146.783 5073889.0,529186.969 5073844.0))"
114,25141,"POLYGON((529168.948 5073829.0,529157.385 5073833.0,529134.311 5073851.0,529139.553 5073873.0,529168.948 5073829.0))"
115,25142,"POLYGON((528953.906 5073388.0,528953.392 5073346.0,528918.814 5073293.0,528895.018 5073278.0,528893.621 5073382.0,528907.49 5073390.0,528953.906 5073388.0))"
116,25143,"POLYGON((529026.747 5073280.0,528918.814 5073293.0,528953.392 5073346.0,529026.747 5073280.0))"
117,25144,"POLYGON((529048.209 5073301.666,529026.747 5073280.0,528953.392 5073346.0,528953.906 5073388.0,528957.007 5073390.0))"
118,25145,"POLYGON((529080.861 5073351.042,529047.413 5073300.87,528957.007 5073390.0,528976.066 5073411.0,528998.747 5073415.0))"
119,25146,"POLYGON((529128.463 5073402.0,529080.861 5073351.042,528998.747 5073415.0,529024.824 5073446.0,529045.285 5073457.0,529105.127 5073462.0,529128.463 5073402.0))"
120,25147,"POLYGON((529098.888 5073516.0,529107.4 5073470.0,529105.127 5073462.0,529045.285 5073457.0,529024.423 5073542.0,529098.888 5073516.0))"
121,25148,"POLYGON((529112.591 5073571.0,529117.825 5073547.0,529098.888 5073516.0,529024.423 5073542.0,529019.521 5073545.0,529102.287 5073586.0,529112.591 5073571.0))"
122,25149,"POLYGON((529101.559 5073588.0,529102.287 5073586.0,529019.521 5073545.0,529019.083 5073546.0,529013.617 5073554.0,529039.589 5073588.0,529048.176 5073599.0,529101.559 5073588.0))"
123,25150,"POLYGON((529103.8 5073612.0,529101.559 5073588.0,529048.176 5073599.0,529048.694 5073623.0,529051.808 5073625.0,529096.395 5073632.0,529103.8 5073612.0))"
124,25151,"POLYGON((529024.824 5073446.0,528998.747 5073415.0,528976.066 5073411.0,528945.957 5073477.0,528996.123 5073503.0,529024.824 5073446.0))"
